File Definition, /mnt/hgfs/OpenSatKit/cosmos/config/tools/table_manager/cfe_sb_routes.txt
File Binary, /mnt/hgfs/OpenSatKit/cosmos/cfs_kit/file_server/cfe_sb_route.dat

CFE_SB PIPE INFO
Label, Value
REC69_PIPE_ID, 5, 
REC69_STATE, ENABLED, 
REC69_MSG_CNT, 0, 
REC69_APP_NAME, KIT_TO, 
REC69_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC70_MSG_ID, 0x0900, 
REC70_PIPE_ID, 5, 
REC70_STATE, ENABLED, 
REC70_MSG_CNT, 1701, 
REC70_APP_NAME, KIT_TO, 
REC70_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC71_MSG_ID, 0x09B1, 
REC71_PIPE_ID, 5, 
REC71_STATE, ENABLED, 
REC71_MSG_CNT, 0, 
REC71_APP_NAME, KIT_TO, 
REC71_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC72_MSG_ID, 0x09D0, 
REC72_PIPE_ID, 16, 
REC72_STATE, ENABLED, 
REC72_MSG_CNT, 851, 
REC72_APP_NAME, HK, 
REC72_PIPE_NAME, HK_CMD_PIPE, 
REC73_MSG_ID, 0x09D0, 
REC73_PIPE_ID, 5, 
REC73_STATE, ENABLED, 
REC73_MSG_CNT, 851, 
REC73_APP_NAME, KIT_TO, 
REC73_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC74_MSG_ID, 0x09D1, 
REC74_PIPE_ID, 16, 
REC74_STATE, ENABLED, 
REC74_MSG_CNT, 2268, 
REC74_APP_NAME, HK, 
REC74_PIPE_NAME, HK_CMD_PIPE, 
REC75_MSG_ID, 0x09D1, 
REC75_PIPE_ID, 5, 
REC75_STATE, ENABLED, 
REC75_MSG_CNT, 2266, 
REC75_APP_NAME, KIT_TO, 
REC75_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC76_MSG_ID, 0x09D2, 
REC76_PIPE_ID, 5, 
REC76_STATE, ENABLED, 
REC76_MSG_CNT, 851, 
REC76_APP_NAME, KIT_TO, 
REC76_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC77_MSG_ID, 0x09E0, 
REC77_PIPE_ID, 22, 
REC77_STATE, ENABLED, 
REC77_MSG_CNT, 0, 
REC77_APP_NAME, F42, 
REC77_PIPE_NAME, F42_SENSOR_PIPE, 
REC78_MSG_ID, 0x09E0, 
REC78_PIPE_ID, 5, 
REC78_STATE, ENABLED, 
REC78_MSG_CNT, 0, 
REC78_APP_NAME, KIT_TO, 
REC78_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC79_MSG_ID, 0x09E1, 
REC79_PIPE_ID, 20, 
REC79_STATE, ENABLED, 
REC79_MSG_CNT, 0, 
REC79_APP_NAME, I42, 
REC79_PIPE_NAME, I42_ACTUATOR_PIPE, 
REC80_MSG_ID, 0x09E1, 
REC80_PIPE_ID, 5, 
REC80_STATE, ENABLED, 
REC80_MSG_CNT, 0, 
REC80_APP_NAME, KIT_TO, 
REC80_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC81_MSG_ID, 0x09F0, 
REC81_PIPE_ID, 5, 
REC81_STATE, ENABLED, 
REC81_MSG_CNT, 0, 
REC81_APP_NAME, KIT_TO, 
REC81_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC82_MSG_ID, 0x09F1, 
REC82_PIPE_ID, 5, 
REC82_STATE, ENABLED, 
REC82_MSG_CNT, 0, 
REC82_APP_NAME, KIT_TO, 
REC82_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC83_MSG_ID, 0x09F2, 
REC83_PIPE_ID, 5, 
REC83_STATE, ENABLED, 
REC83_MSG_CNT, 0, 
REC83_APP_NAME, KIT_TO, 
REC83_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC84_MSG_ID, 0x0A40, 
REC84_PIPE_ID, 11, 
REC84_STATE, ENABLED, 
REC84_MSG_CNT, 0, 
REC84_APP_NAME, LC, 
REC84_PIPE_NAME, LC_CMD_PIPE, 
REC85_MSG_ID, 0x0A40, 
REC85_PIPE_ID, 5, 
REC85_STATE, ENABLED, 
REC85_MSG_CNT, 0, 
REC85_APP_NAME, KIT_TO, 
REC85_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC86_MSG_ID, 0x0F03, 
REC86_PIPE_ID, 5, 
REC86_STATE, ENABLED, 
REC86_MSG_CNT, 0, 
REC86_APP_NAME, KIT_TO, 
REC86_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC87_MSG_ID, 0x0F04, 
REC87_PIPE_ID, 5, 
REC87_STATE, ENABLED, 
REC87_MSG_CNT, 0, 
REC87_APP_NAME, KIT_TO, 
REC87_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC88_MSG_ID, 0x0F05, 
REC88_PIPE_ID, 5, 
REC88_STATE, ENABLED, 
REC88_MSG_CNT, 0, 
REC88_APP_NAME, KIT_TO, 
REC88_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC89_MSG_ID, 0x0FFD, 
REC89_PIPE_ID, 5, 
REC89_STATE, ENABLED, 
REC89_MSG_CNT, 0, 
REC89_APP_NAME, KIT_TO, 
REC89_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC90_MSG_ID, 0x1801, 
REC90_PIPE_ID, 0, 
REC90_STATE, ENABLED, 
REC90_MSG_CNT, 0, 
REC90_APP_NAME, CFE_EVS, 
REC90_PIPE_NAME, EVS_CMD_PIPE, 
REC91_MSG_ID, 0x1802, 
REC91_PIPE_ID, 21, 
REC91_STATE, ENABLED, 
REC91_MSG_CNT, 0, 
REC91_APP_NAME, ISIM, 
REC91_PIPE_NAME, ISIM_CMD_PIPE, 
REC92_MSG_ID, 0x1803, 
REC92_PIPE_ID, 1, 
REC92_STATE, ENABLED, 
REC92_MSG_CNT, 4, 
REC92_APP_NAME, CFE_SB, 
REC92_PIPE_NAME, SB_CMD_PIPE, 
REC93_MSG_ID, 0x1804, 
REC93_PIPE_ID, 4, 
REC93_STATE, ENABLED, 
REC93_MSG_CNT, 0, 
REC93_APP_NAME, CFE_TBL, 
REC93_PIPE_NAME, TBL_CMD_PIPE, 
REC94_MSG_ID, 0x1805, 
REC94_PIPE_ID, 3, 
REC94_STATE, ENABLED, 
REC94_MSG_CNT, 0, 
REC94_APP_NAME, CFE_TIME, 
REC94_PIPE_NAME, TIME_CMD_PIPE, 
REC95_MSG_ID, 0x1806, 
REC95_PIPE_ID, 2, 
REC95_STATE, ENABLED, 
REC95_MSG_CNT, 0, 
REC95_APP_NAME, CFE_ES, 
REC95_PIPE_NAME, ES_CMD_PIPE, 
REC96_MSG_ID, 0x1808, 
REC96_PIPE_ID, 2, 
REC96_STATE, ENABLED, 
REC96_MSG_CNT, 851, 
REC96_APP_NAME, CFE_ES, 
REC96_PIPE_NAME, ES_CMD_PIPE, 
REC97_MSG_ID, 0x1809, 
REC97_PIPE_ID, 0, 
REC97_STATE, ENABLED, 
REC97_MSG_CNT, 851, 
REC97_APP_NAME, CFE_EVS, 
REC97_PIPE_NAME, EVS_CMD_PIPE, 
REC98_MSG_ID, 0x180B, 
REC98_PIPE_ID, 1, 
REC98_STATE, ENABLED, 
REC98_MSG_CNT, 851, 
REC98_APP_NAME, CFE_SB, 
REC98_PIPE_NAME, SB_CMD_PIPE, 
REC99_MSG_ID, 0x180C, 
REC99_PIPE_ID, 4, 
REC99_STATE, ENABLED, 
REC99_MSG_CNT, 851, 
REC99_APP_NAME, CFE_TBL, 
REC99_PIPE_NAME, TBL_CMD_PIPE, 
REC100_MSG_ID, 0x180D, 
REC100_PIPE_ID, 3, 
REC100_STATE, ENABLED, 
REC100_MSG_CNT, 851, 
REC100_APP_NAME, CFE_TIME, 
